iter	Passed	Remaining
0	138	138318
1	142	71017
2	145	48222
3	149	37226
4	154	30684
5	156	25934
6	159	22568
7	187	23277
8	190	21020
9	193	19188
10	203	18337
11	207	17083
12	244	18592
13	250	17614
14	253	16633
15	259	15953
16	266	15388
17	268	14639
18	270	13975
19	290	14228
20	293	13659
21	295	13135
22	298	12663
23	300	12223
24	305	11929
25	308	11562
26	311	11213
27	322	11187
28	324	10856
29	326	10547
30	329	10287
31	331	10021
32	336	9861
33	338	9620
34	341	9420
35	344	9214
36	346	9025
37	356	9032
38	360	8881
39	362	8708
40	365	8550
41	367	8390
42	369	8232
43	372	8082
44	405	8603
45	408	8474
46	414	8396
47	417	8279
48	420	8157
49	425	8082
50	427	7957
51	429	7838
52	432	7726
53	434	7613
54	437	7510
55	442	7456
56	445	7366
57	448	7277
58	451	7195
59	457	7160
60	459	7075
61	461	6987
62	463	6896
63	465	6810
64	469	6760
65	472	6686
66	474	6610
67	476	6530
68	478	6453
69	480	6381
70	482	6308
71	486	6270
72	488	6204
73	490	6138
74	492	6074
75	494	6016
76	496	5953
77	502	5934
78	504	5876
79	505	5817
80	508	5764
81	510	5710
82	511	5647
83	517	5638
84	519	5591
85	523	5563
86	525	5515
87	530	5501
88	533	5461
89	535	5415
90	538	5374
91	540	5334
92	544	5312
93	547	5281
94	550	5244
95	552	5205
96	554	5164
97	563	5184
98	566	5159
99	570	5131
100	573	5104
101	585	5155
102	628	5473
103	630	5435
104	634	5412
105	637	5373
106	641	5356
107	645	5333
108	649	5309
109	653	5288
110	660	5287
111	662	5254
112	664	5219
113	667	5187
114	669	5155
115	673	5134
116	675	5098
117	682	5098
118	695	5150
119	703	5161
120	706	5132
121	708	5101
122	711	5072
123	713	5042
124	718	5030
125	721	5002
126	723	4971
127	726	4945
128	762	5147
129	767	5138
130	770	5109
131	772	5082
132	775	5057
133	778	5030
134	782	5016
135	785	4988
136	787	4960
137	789	4934
138	792	4906
139	796	4894
140	825	5031
141	830	5015
142	832	4988
143	834	4961
144	836	4934
145	839	4907
146	841	4881
147	845	4866
148	847	4840
149	849	4815
150	852	4790
151	854	4766
152	856	4741
153	868	4770
154	870	4746
155	872	4722
156	876	4708
157	879	4685
158	881	4662
159	883	4640
160	885	4612
161	887	4590
162	889	4569
163	894	4559
164	896	4537
165	932	4686
166	935	4664
167	940	4656
168	943	4637
169	946	4619
170	948	4599
171	951	4580
172	968	4631
173	971	4611
174	974	4596
175	1008	4719
176	1047	4871
177	1050	4852
178	1053	4830
179	1055	4808
180	1060	4800
181	1064	4783
182	1066	4761
183	1069	4742
184	1073	4729
185	1077	4713
186	1079	4693
187	1102	4761
188	1107	4751
189	1109	4732
190	1113	4715
191	1116	4697
192	1118	4677
193	1125	4676
194	1127	4656
195	1130	4636
196	1132	4617
197	1138	4610
198	1141	4595
199	1144	4579
200	1150	4571
201	1155	4563
202	1158	4547
203	1160	4529
204	1163	4512
205	1166	4495
206	1193	4570
207	1195	4553
208	1199	4538
209	1203	4527
210	1210	4524
211	1213	4508
212	1216	4496
213	1221	4484
214	1226	4476
215	1264	4589
216	1279	4617
217	1283	4603
218	1291	4605
219	1294	4588
220	1297	4575
221	1313	4604
222	1316	4586
223	1319	4569
224	1323	4558
225	1326	4543
226	1330	4529
227	1334	4519
228	1337	4503
229	1340	4487
230	1348	4488
231	1354	4482
232	1357	4467
233	1362	4458
234	1364	4443
235	1367	4427
236	1372	4417
237	1378	4413
238	1380	4397
239	1384	4382
240	1387	4368
241	1394	4366
242	1396	4350
243	1399	4335
244	1402	4323
245	1413	4331
246	1416	4317
247	1419	4303
248	1424	4296
249	1428	4284
250	1433	4278
251	1444	4288
252	1517	4481
253	1527	4486
254	1530	4471
255	1533	4456
256	1537	4445
257	1541	4432
258	1543	4415
259	1546	4402
260	1549	4386
261	1561	4399
262	1564	4383
263	1566	4368
264	1569	4353
265	1571	4337
266	1574	4323
267	1577	4308
268	1579	4293
269	1583	4281
270	1586	4267
271	1588	4252
272	1656	4412
273	1659	4397
274	1666	4393
275	1669	4379
276	1672	4365
277	1675	4350
278	1680	4342
279	1682	4327
280	1685	4313
281	1688	4298
282	1690	4283
283	1723	4343
284	1728	4335
285	1731	4321
286	1735	4310
287	1738	4297
288	1743	4288
289	1746	4275
290	1749	4261
291	1754	4254
292	1761	4250
293	1798	4319
294	1842	4403
295	1845	4389
296	1848	4376
297	1853	4367
298	1859	4360
299	1862	4345
300	1865	4332
301	1868	4317
302	1870	4303
303	1873	4288
304	1875	4274
305	1882	4269
306	1886	4258
307	1889	4245
308	1892	4231
309	1897	4222
310	1899	4208
311	1901	4194
312	1906	4183
313	1910	4174
314	1923	4183
315	1937	4192
316	1939	4178
317	1943	4169
318	1946	4155
319	1949	4143
320	1952	4131
321	1963	4133
322	1965	4120
323	1968	4106
324	1970	4091
325	1974	4083
326	1977	4069
327	1979	4056
328	2003	4086
329	2009	4079
330	2012	4066
331	2017	4060
332	2020	4047
333	2025	4038
334	2029	4029
335	2032	4015
336	2034	4001
337	2036	3988
338	2039	3975
339	2041	3963
340	2046	3954
341	2048	3940
342	2050	3927
343	2052	3913
344	2054	3899
345	2056	3887
346	2061	3879
347	2064	3867
348	2066	3854
349	2068	3841
350	2070	3828
351	2075	3820
352	2077	3807
353	2080	3796
354	2084	3786
355	2086	3775
356	2090	3765
357	2092	3753
358	2095	3740
359	2097	3728
360	2102	3722
361	2105	3710
362	2107	3697
363	2110	3688
364	2112	3675
365	2117	3668
366	2119	3655
367	2121	3643
368	2124	3632
369	2126	3620
370	2128	3609
371	2133	3601
372	2135	3588
373	2136	3576
374	2138	3564
375	2141	3553
376	2143	3541
377	2148	3535
378	2151	3524
379	2153	3513
380	2155	3502
381	2158	3492
382	2168	3493
383	2171	3482
384	2201	3517
385	2205	3507
386	2208	3497
387	2216	3495
388	2218	3485
389	2224	3479
390	2227	3468
391	2229	3457
392	2231	3446
393	2233	3435
394	2236	3424
395	2240	3417
396	2242	3405
397	2244	3395
398	2246	3384
399	2250	3375
400	2255	3368
401	2257	3358
402	2260	3348
403	2262	3337
404	2265	3327
405	2277	3331
406	2279	3321
407	2282	3311
408	2287	3305
409	2290	3295
410	2293	3287
411	2296	3276
412	2302	3272
413	2309	3269
414	2312	3259
415	2319	3256
416	2322	3247
417	2324	3236
418	2327	3227
419	2335	3224
420	2338	3215
421	2347	3214
422	2355	3212
423	2358	3203
424	2360	3193
425	2364	3186
426	2412	3237
427	2418	3231
428	2421	3223
429	2427	3217
430	2434	3213
431	2437	3204
432	2439	3194
433	2442	3185
434	2447	3179
435	2450	3169
436	2453	3160
437	2455	3151
438	2458	3141
439	2463	3135
440	2466	3126
441	2468	3116
442	2471	3107
443	2474	3098
444	2478	3091
445	2481	3082
446	2483	3072
447	2487	3064
448	2489	3055
449	2494	3049
450	2496	3039
451	2499	3029
452	2503	3022
453	2505	3013
454	2510	3007
455	2513	2998
456	2515	2989
457	2520	2982
458	2524	2976
459	2527	2967
460	2531	2959
461	2534	2951
462	2536	2942
463	2541	2935
464	2552	2936
465	2555	2928
466	2600	2968
467	2606	2963
468	2615	2961
469	2621	2956
470	2624	2947
471	2637	2950
472	2640	2941
473	2644	2934
474	2647	2926
475	2649	2916
476	2651	2906
477	2654	2898
